da,delex_da,text,delex_text
?request(area),?request(area),V jaké lokalitě byste chtěli povečeřet ?,V jaké lokalitě byste chtěli povečeřet ?
"inform(name='Green Spirit',near='Wenceslas Square')","inform(name=X-name,near=X-near)",Green Spirit se nachází blízko Václavského náměstí .,X-name se nachází blízko X-near .
?request(area),?request(area),"V jakém místě chcete , abych hledala ?","V jakém místě chcete , abych hledala ?"
?request(area),?request(area),V jaké lokalitě hledáte restaurace ?,V jaké lokalitě hledáte restaurace ?
"inform(good_for_meal=breakfast,name=Místo)","inform(good_for_meal=X-good_for_meal,name=X-name)",Místo je dobré místo na snídani .,X-name je dobré X-name na X-good_for_meal .
"inform(area='Staré Město',good_for_meal=lunch,name=Místo,price_range=cheap)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Místo je levná restaurace na Starém Městě , ve které se dá dobře naobědvat .","X-name je X-price_range restaurace na X-area , ve které se dá dobře X-good_for_meal ."
?request(area),?request(area),Jakou lokalitu byste hledali ?,Jakou lokalitu byste hledali ?
"inform(good_for_meal=brunch,name=BarBar)","inform(good_for_meal=X-good_for_meal,name=X-name)",BarBar podává úžasné pozdní snídaně .,X-name podává úžasné X-good_for_meal .
"inform(food=American,kids_allowed=no,name=BarBar)","inform(food=X-food,kids_allowed=no,name=X-name)",BarBar servíruje americká jídla a není přístupný dětem .,X-name servíruje X-food jídla a není přístupný dětem .
"inform(address='Újezd 49',area=Vinohrady,name=BarBar,phone=216855008)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)","BarBar je restaurace v lokalitě Vinohrady , její adresa je Újezd 49 , telefonní číslo je 216855008 .","X-name je restaurace v lokalitě X-area , její adresa je X-address , telefonní číslo je X-phone ."
"inform(kids_allowed=no,name='Kočár z Vídně')","inform(kids_allowed=no,name=X-name)",Kočár z Vídně není přístupné dětem .,X-name není přístupné dětem .
"inform(name='U Tučňáků',near='TV Tower')","inform(name=X-name,near=X-near)",U Tučňáků se nachází poblíž televizního vysílače .,X-name se nachází poblíž X-near .
?request(area),?request(area),Jakou oblast hledáte ?,Jakou oblast hledáte ?
"inform(name='Švejk Restaurant',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk je krásná restaurace v levné cenové kategorii .,X-name je krásná restaurace v X-price_range cenové kategorii .
"inform(good_for_meal=breakfast,name='U Konšelů')","inform(good_for_meal=X-good_for_meal,name=X-name)",V restaurace U Konšelů se můžete dobře nasnídat .,V restaurace X-name se můžete dobře X-good_for_meal .
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","V nabídce je 218 restaurací , pokud nezáleží na tom , jaké jídlo nabízí .","V nabídce je X-count restaurací , pokud nezáleží na tom , jaké jídlo nabízí ."
"inform_only_match(food=Mexican,good_for_meal=dinner,kids_allowed=no,name='Green Spirit')","inform_only_match(food=X-food,good_for_meal=X-good_for_meal,kids_allowed=no,name=X-name)","Green Spirit je jediná mexická restaurace vhodná na večeři , kam není povolen vstup s dětmi .","X-name je jediná X-food restaurace vhodná na X-good_for_meal , kam není povolen vstup s dětmi ."
"inform(name=Ananta,price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Ananta patří do drahé cenové kategorie .,X-name patří do X-price_range cenové kategorie .
"inform(good_for_meal=dinner,name='U Tučňáků')","inform(good_for_meal=X-good_for_meal,name=X-name)",V restaurace U Tučňáků se můžete dobře navečeřet .,V restaurace X-name se můžete dobře X-good_for_meal .
"inform(name='Green Spirit',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Green Spirit patří do střední cenové skupiny .,Restaurace X-name patří do X-price_range cenové skupiny .
"inform(food=German,good_for_meal=dinner,name='Kočár z Vídně',price_range=moderate)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",Kočár z Vídně nabízí německé večeře za střední ceny .,X-name nabízí X-food X-good_for_meal za X-price_range ceny .
?request(area),?request(area),O jakou oblast máte zájem ?,O jakou oblast máte zájem ?
"inform(kids_allowed=no,name='Švejk Restaurant')","inform(kids_allowed=no,name=X-name)",Restaurace Švejk není vhodná pro děti .,X-name není vhodná pro děti .
"inform(count=229,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Pokud vám nezáleží na podávané kuchyni , máte na výběr z 229 restaurací .","Pokud vám nezáleží na podávané kuchyni , máte na výběr z X-count restaurací ."
"inform_no_match(food=Turkish,good_for_meal=breakfast)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Neeviduji žádné turecké restaurace , které mají otevřeno na snídani .","Neeviduji žádné X-food restaurace , které mají otevřeno na X-good_for_meal ."
"inform(address='Malostranské náměstí 5',name=BarBar,phone=268485080,price_range=moderate)","inform(address=X-address,name=X-name,phone=X-phone,price_range=X-price_range)",BarBar patří do střední cenové skupiny a nachází se na Malostranském náměstí 5 . Telefonní číslo je 268485080 .,X-name patří do X-price_range cenové skupiny a nachází se na X-address . Telefonní číslo je X-phone .
?confirm(kids_allowed=yes),?confirm(kids_allowed=yes),"Můžete potvrdit , že chcete vzít s sebou děti ?","Můžete potvrdit , že chcete vzít s sebou děti ?"
"inform(good_for_meal=lunch,kids_allowed=yes,name='U Konšelů',near='Wenceslas Square',price_range=cheap)","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","Také doporučuji restauraci U Konšelů . Je levná , dobrá v době obědů , v blízko Václavského náměstí a je vhodná pro návštěvu s dětmi","Také doporučuji restauraci X-name . Je X-price_range , dobrá v době X-good_for_meal , v blízko X-near a je vhodná pro návštěvu s dětmi"
"inform(food=Italian,kids_allowed=no,name='Švejk Restaurant')","inform(food=X-food,kids_allowed=no,name=X-name)",Švejk Restaurant servíruje italská jídla a není přístupný dětem .,X-name servíruje X-food jídla a není přístupný dětem .
"inform(name='Kočár z Vídně',price_range=expensive)","inform(name=X-name,price_range=X-price_range)",Jako drahá restaurace se nabízí Kočár z Vídně .,Jako X-price_range restaurace se nabízí X-name .
"inform(area=Žižkov,name=Ananta,price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Ananta je na Žižkově a má střední ceny .,X-name je na X-area a má X-price_range ceny .
"inform(name=Místo,near='Powder Tower')","inform(name=X-name,near=X-near)",Nedaleko od Prašné brány najdeme pěknou restauraci Místo .,Nedaleko od X-near najdeme pěknou restauraci X-name .
"inform(area=Dejvice,good_for_meal=dinner,kids_allowed=yes,name='Café Kampus')","inform(area=X-area,good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)","Café Kampus , v Dejvicích , nabízí večeře a je vhodné pro děti .","X-name , v X-area , nabízí X-good_for_meal a je vhodné pro děti ."
"inform_no_match(food=Italian,good_for_meal=brunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nemám tu žádnou restauraci s italským jídlem , vhodnou pro brunch .","Nemám tu žádnou restauraci s X-food jídlem , vhodnou pro X-good_for_meal ."
"inform(name='Švejk Restaurant',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk spadá do nižší cenové kategorie .,X-name spadá do X-price_range cenové kategorie .
"inform_only_match(food=Asian,name='U Tučňáků',price_range=expensive)","inform_only_match(food=X-food,name=X-name,price_range=X-price_range)",Našla jsem pouze U Tučňáků jako luxusní asijskou a dětem přístupnou restauraci .,Našla jsem pouze X-name jako X-price_range X-food a dětem přístupnou restauraci .
"inform(good_for_meal=dinner,name=Ananta)","inform(good_for_meal=X-good_for_meal,name=X-name)",Ananta se nejlíp hodí na večeři .,X-name se nejlíp hodí na X-good_for_meal .
"inform(name='Café Savoy',near='Petřín Tower')","inform(name=X-name,near=X-near)",Café Savoy najdete blízko Petřínské rozhledny .,X-name najdete blízko X-near .
"inform(food=German,kids_allowed=yes,name=Ananta)","inform(food=X-food,kids_allowed=yes,name=X-name)",Ananta se hodí pro děti a vede německou kuchyni .,X-name se hodí pro děti a vede X-food kuchyni .
?request(area),?request(area),"V jakém místě chcete , abych hledala ?","V jakém místě chcete , abych hledala ?"
"inform(name='Švejk Restaurant',near='Wenceslas Square',phone=229996745,price='between 130 and 180 Kč')","inform(name=X-name,near=X-near,phone=X-phone,price=X-price)","Restaurace Švejk poblíž Václavského náměstí nabízí ceny mezi 130 a 180 Kč , telefonní kontakt 229996745","X-name poblíž X-near nabízí ceny X-price , telefonní kontakt X-phone"
"inform(kids_allowed=yes,name='Kočár z Vídně',near='Old Town Square',price_range=moderate)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)",Restaurace Kočár z Vídně je v normální cenové skupině blízko Staroměstského náměstí a je vhodná pro děti,Restaurace X-name je v X-price_range cenové skupině blízko X-near a je vhodná pro děti
"inform(food=Czech,good_for_meal=dinner,name='Baráčnická rychta',price_range=expensive)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Baráčnická rychta je drahá česká restaurace , která je otevřena na večeři .","X-name je X-price_range X-food restaurace , která je otevřena na X-good_for_meal ."
"inform(name='Baráčnická rychta',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",V restauraci Baráčnická rychta mají celkem nízké ceny .,V restauraci X-name mají celkem X-price_range ceny .
"inform(area=Karlín,name=Ananta,price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Ananta je cenově dostupná restaurace v Karlíně .,X-name je X-price_range restaurace v X-area .
"inform(name='Švejk Restaurant',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",V restauraci Švejk mají celkem průměrné ceny .,V X-name mají celkem X-price_range ceny .
"inform(name=BarBar,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",BarBar je levná restaurace .,X-name je X-price_range restaurace .
"inform(good_for_meal=dinner,name='Green Spirit')","inform(good_for_meal=X-good_for_meal,name=X-name)",Green Spirit je dobrá restaurace na večeři .,X-name je dobrá restaurace na X-good_for_meal .
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Mám tu 218 restaurací , která servírují různá jídla .","Mám tu X-count restaurací , která servírují různá jídla ."
"inform(area=Nusle,name='Green Spirit',price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)","Green Spirit najdete v Nuslích , pokrmy jsou tu levné .","X-name najdete v X-area , pokrmy jsou tu X-price_range ."
?select(price_range='cheap or expensive'),?select(price_range=X-price_range),"V jaké cenové kategorii chcete hledat , v levné nebo drahé ?","V jaké cenové kategorii chcete hledat , v X-price_range ?"
"inform(name='Café Savoy',price_range=expensive)","inform(name=X-name,price_range=X-price_range)","Nedaleko je ruská restaurace jménem Café Savoy , ale je velmi drahá .","Nedaleko je ruská restaurace jménem X-name , ale je velmi X-price_range ."
?confirm(near='Prague Castle'),?confirm(near=X-near),"Zajímalo by vás , jestli je blízko Pražskému hradu nějaké jiné místo ?","Zajímalo by vás , jestli je blízko X-near nějaké jiné místo ?"
"inform(name='Švejk Restaurant',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk je levná .,X-name je X-price_range .
"inform(good_for_meal=dinner,name=Ananta,phone=224249065)","inform(good_for_meal=X-good_for_meal,name=X-name,phone=X-phone)","Restaurace Ananta je skvělá pro večeře , telefonní číslo je 224249065","Restaurace X-name je skvělá pro X-good_for_meal , telefonní číslo je X-phone"
"inform(name='Café Kampus',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Café Kampus je v přijatelné cenové relaci .,X-name je v X-price_range cenové relaci .
"inform(good_for_meal=dinner,name='Kočár z Vídně')","inform(good_for_meal=X-good_for_meal,name=X-name)",Kočár z Vídně je skvělý na večeře .,X-name je skvělý na X-good_for_meal .
?request(area),?request(area),V jaké lokalitě byste si přáli hledat ?,V jaké lokalitě byste si přáli hledat ?
"inform(food=Asian,kids_allowed=yes,name='U Konšelů')","inform(food=X-food,kids_allowed=yes,name=X-name)",U Konšelů také nabízí asijská jídla a vítá děti .,X-name také nabízí X-food jídla a vítá děti .
?request(area),?request(area),V jaké lokalitě byste chtěla hledat ?,V jaké lokalitě byste chtěla hledat ?
"inform(name=Ferdinanda,near='Prague Castle')","inform(name=X-name,near=X-near)","Promiňte , restaurace Ferdinanda je blízko Pražského hradu .","Promiňte , restaurace X-name je blízko X-near ."
"inform(area=Vinohrady,good_for_meal=lunch,name=BarBar,price_range=moderate)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","BarBar je dobré , středně drahé místo na oběd nacházející se na Vinohradech .","X-name je dobré , X-price_range místo na X-good_for_meal nacházející se na X-area ."
"inform(name='U Tučňáků',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",U Tučňáků spadá do Vámi vybrané kategorie levných restaurací,X-name spadá do Vámi vybrané kategorie X-price_range restaurací
"inform(name='Café Savoy',near='TV Tower')","inform(name=X-name,near=X-near)",Café Savoy je nedaleko od televizní věže .,X-name je nedaleko od X-near .
"inform(food=French,kids_allowed=no,name=Ferdinanda)","inform(food=X-food,kids_allowed=no,name=X-name)","Našla jsem restauraci Ferdinanda , která nabízí francouzská jídla a není přístupná pro děti .","Našla jsem restauraci X-name , která nabízí X-food jídla a není přístupná pro děti ."
?request(area),?request(area),Jakou lokalitu byste hledali ?,Jakou lokalitu byste hledali ?
"inform(good_for_meal=brunch,name='U Tučňáků')","inform(good_for_meal=X-good_for_meal,name=X-name)","U Tučňáků je dobrá restaurace , kam zajít na brunch .","X-name je dobrá restaurace , kam zajít na X-good_for_meal ."
"inform(name='Café Kampus',near='Prague Castle')","inform(name=X-name,near=X-near)",Nejblíže Pražskému hradu je Café Kampus .,Nejblíže X-near je X-name .
"inform(kids_allowed=no,name=BarBar)","inform(kids_allowed=no,name=X-name)",BarBar je pro děti nevhodný .,X-name je pro děti nevhodný .
"inform(name=BarBar,near='Petřín Tower')","inform(name=X-name,near=X-near)",Poblíž Petřínské rozhledny je pěkná restaurace s názvem BarBar .,Poblíž X-near je pěkná restaurace s názvem X-name .
?request(area),?request(area),V jaké oblasti mám restauraci hledat ?,V jaké oblasti mám restauraci hledat ?
"inform(name='U Tučňáků',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",U Tučňáků mají ceny střední .,X-name mají ceny X-price_range .
"inform(good_for_meal=dinner,name='Kočár z Vídně')","inform(good_for_meal=X-good_for_meal,name=X-name)",Kočár z Vídně dělá dobré večeře .,X-name dělá dobré X-good_for_meal .
"inform(area=Dejvice,name='U Konšelů',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",U Konšelů v Dejvicích mají střední ceny,X-name v X-area mají X-price_range ceny
"inform(name=Místo,near='Petřín Tower')","inform(name=X-name,near=X-near)",Místo je nedaleko Petřínské věže .,X-name je nedaleko X-near .
"inform(name='Švejk Restaurant',near='TV Tower')","inform(name=X-name,near=X-near)",restaurace Švejk je blízko televizní věže .,X-name je blízko X-near .
"inform(name='Švejk Restaurant',near='Old Town Square')","inform(name=X-name,near=X-near)",Restaurace Švejk je krásná restaurace blízko Staroměstského náměstí .,X-name je krásná restaurace blízko X-near .
"inform(kids_allowed=no,name='Café Kampus')","inform(kids_allowed=no,name=X-name)",Restaurace Café Kampus není vhodná pro děti .,Restaurace X-name není vhodná pro děti .
"inform(name='Pivo & Basilico',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Pivo & Basilico je levné .,X-name je X-price_range .
"inform(name='U Konšelů',near='Powder Tower or Old Town Square')","inform(name=X-name,near=X-near)",U Konšelů se nachází v blízkosti Prašné Brány nebo Staroměstského náměstí .,X-name se nachází v blízkosti X-near .
"inform(name=BarBar,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace BarBar spadá do levné cenové kategorie .,Restaurace X-name spadá do X-price_range cenové kategorie .
"inform(good_for_meal=dinner,name=Ferdinanda)","inform(good_for_meal=X-good_for_meal,name=X-name)",Restaurace Ferdinanda se hodí na večeři,Restaurace X-name se hodí na X-good_for_meal
"inform(good_for_meal=dinner,name='Pivo & Basilico')","inform(good_for_meal=X-good_for_meal,name=X-name)",V restauraci Pivo & Basilico můžete povečeřet .,V restauraci X-name můžete X-good_for_meal .
"inform(food=Chinese,good_for_meal=lunch,name='Švejk Restaurant',price_range=moderate)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)","Restaurace Švejk je středně drahý čínský podnik , kde dobře poobědváte .","X-name je X-price_range X-food podnik , kde dobře X-good_for_meal ."
"inform(name=BarBar,near='TV Tower')","inform(name=X-name,near=X-near)",BarBar se nachází blízko Žižkovské televizní věže .,X-name se nachází blízko X-near .
"inform(name='Švejk Restaurant',near='Prague Castle')","inform(name=X-name,near=X-near)",Restaurace Švejk je krásná restaurace blízko Pražského hradu .,X-name je krásná restaurace blízko X-near .
"inform(name='Švejk Restaurant',near=Stromovka)","inform(name=X-name,near=X-near)",Švejk Restaurant je blízko Stromovky,X-name je blízko X-near
"inform(name='Švejk Restaurant',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Restaurace Švejk je levná restaurace .,X-name je X-price_range restaurace .
"inform(address='Žatecká 13',name='Café Kampus',near='Wenceslas Square',phone=213325218)","inform(address=X-address,name=X-name,near=X-near,phone=X-phone)","Adresa Café Kampus je Žatecká 13 , telefonní číslo je 213325218 . Nachází se v blízkosti Václavského náměstí .","Adresa X-name je X-address , telefonní číslo je X-phone . Nachází se v blízkosti X-near ."
"inform(count=218,food=dont_care,type=restaurant)","inform(count=X-count,food=dont_care,type=restaurant)","Pokud vám nezáleží na druhu jídla , vím o 218 různých restauracích .","Pokud vám nezáleží na druhu jídla , vím o X-count různých restauracích ."
?confirm(near='Petřín Tower'),?confirm(near=X-near),"Mohu se ujistit , že hledáte variantu poblíž Petřínské věže ?","Mohu se ujistit , že hledáte variantu poblíž X-near ?"
"inform(food=German,kids_allowed=no,name='Green Spirit')","inform(food=X-food,kids_allowed=no,name=X-name)","Našla jsem dobrou restauraci jménem Green Spirit , kde podávají německá jídla a není zde povolen vstup s dětmi .","Našla jsem dobrou restauraci jménem X-name , kde podávají X-food jídla a není zde povolen vstup s dětmi ."
"inform(kids_allowed=no,name=Ananta)","inform(kids_allowed=no,name=X-name)","Ananta je hezká restaurace , která není vhodná pro děti","X-name je hezká restaurace , která není vhodná pro děti"
"inform(good_for_meal='lunch or dinner',name=BarBar)","inform(good_for_meal=X-good_for_meal,name=X-name)",V BarBaru podávají výborné obědy a večeře .,V X-name podávají výborné X-good_for_meal .
"inform(area=Nusle,name=BarBar,price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",BarBar je levné místo blízko lokality Nusle .,X-name je X-price_range místo blízko lokality X-area .
"inform(name='Café Savoy',near='TV Tower')","inform(name=X-name,near=X-near)",Café Savoy je blízko Žižkovské televizní věže .,X-name je blízko X-near .
"inform(name='Pivo & Basilico',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Pivo & Basilico je cenově dostupné .,X-name je X-price_range .
"inform(name=Místo,near='Powder Tower')","inform(name=X-name,near=X-near)",Místo je blízko Prašné brány,X-name je blízko X-near
"inform(area='Malá Strana',good_for_meal=dinner,name=Místo,price_range=cheap)","inform(area=X-area,good_for_meal=X-good_for_meal,name=X-name,price_range=X-price_range)",Místo je dobrou volbou na večeři v nižší cenové skupině na Malé Straně .,X-name je dobrou volbou na X-good_for_meal v X-price_range cenové skupině na X-area .
"inform(kids_allowed=no,name=BarBar)","inform(kids_allowed=no,name=X-name)",BarBar není přístupný dětem .,X-name není přístupný dětem .
"inform(area=Dejvice,name='Café Savoy',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)",Café Savoy je hezká restaurace v Dejvicích s běžnými cenami .,X-name je hezká restaurace v X-area s X-price_range cenami .
"inform(kids_allowed=yes,name='Café Savoy',near='TV Tower',price_range=expensive)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)",Kavárna Savoy je dražší podnik poblíž Žižkovské televizní věže .,X-name je X-price_range podnik poblíž X-near .
?request(area),?request(area),Jakou část města máte na mysli ?,Jakou část města máte na mysli ?
"inform(name=Místo,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Místo je cenově dostupná restaurace .,X-name je X-price_range restaurace .
?request(area),?request(area),V jaké oblasti si přejete se najíst ?,V jaké oblasti si přejete se najíst ?
"inform(name='Café Savoy',price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Kavárna Savoy patří mezi restaurace v levné cenové kategorii .,X-name patří mezi restaurace v X-price_range cenové kategorii .
"inform(name=Ananta,price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Ananta má normální ceny .,Restaurace X-name má X-price_range ceny .
"inform(good_for_meal='lunch or dinner',name='Baráčnická rychta')","inform(good_for_meal=X-good_for_meal,name=X-name)","Omlouvám se , chcete vědět , jestli je Baráčnická rychta vhodná na oběd nebo večeři ?","Omlouvám se , chcete vědět , jestli je X-name vhodná na X-good_for_meal ?"
"inform(name='Švejk Restaurant',near='Powder Tower or Old Town Square')","inform(name=X-name,near=X-near)",Restaurace Švejk je nedaleko Prašné Brány nebo Staroměstského náměstí .,X-name je nedaleko X-near .
"inform(kids_allowed=no,name='Pivo & Basilico')","inform(kids_allowed=no,name=X-name)",Restaurace Pivo & Basilico není vhodná pro děti .,Restaurace X-name není vhodná pro děti .
?request(area),?request(area),Kterou městskou část hledáte ?,Kterou městskou část hledáte ?
?request(area),?request(area),V jaké lokalitě hledáte ?,V jaké lokalitě hledáte ?
?request(area),?request(area),V jaké lokalitě byste si přáli hledat ?,V jaké lokalitě byste si přáli hledat ?
?select(price_range='expensive or cheap'),?select(price_range=X-price_range),Hledáte prosím drahou nebo levnou restauraci ?,Hledáte prosím X-price_range restauraci ?
"inform(name='Café Savoy',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Café Savoy má přijatelné ceny,Restaurace X-name má X-price_range ceny
"inform(good_for_meal=breakfast,name='Kočár z Vídně')","inform(good_for_meal=X-good_for_meal,name=X-name)",Kočár z Vídně je skvělé místo pro snídani .,X-name je skvělé místo pro X-good_for_meal .
?request(area),?request(area),Jaká oblast Vás zajímá ?,Jaká oblast Vás zajímá ?
"inform_no_match(food=German,good_for_meal=lunch)","inform_no_match(food=X-food,good_for_meal=X-good_for_meal)","Nejsou tu žádné německé restaurace , kde by se vařily obědy .","Nejsou tu žádné X-food restaurace , kde by se vařily X-good_for_meal ."
"inform(name=Ananta,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Ananta nabízí levná jídla .,X-name nabízí X-price_range jídla .
"inform(good_for_meal=dinner,name='Švejk Restaurant')","inform(good_for_meal=X-good_for_meal,name=X-name)",V restauraci Švejk můžete dobře povečeřet .,V X-name můžete dobře X-good_for_meal .
"inform(area=Karlín,count=2,type=restaurant)","inform(area=X-area,count=X-count,type=restaurant)",V nabídce jsou 2 restaurace v Karlíně .,V nabídce jsou X-count restaurace v X-area .
"inform(kids_allowed=yes,name='Baráčnická rychta',near=Stromovka,price_range=cheap)","inform(kids_allowed=yes,name=X-name,near=X-near,price_range=X-price_range)","Baráčnická rychta je levná restaurace blízko Stromovky , kam mají vstup i děti .","X-name je X-price_range restaurace blízko X-near , kam mají vstup i děti ."
"inform(name=Ferdinanda,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Ferdinanda patří do nižší cenové kategorie,X-name patří do X-price_range cenové kategorie
?select(kids_allowed='no or yes'),?select(kids_allowed='no or yes'),"Chcete podnik , kam mohou děti ?","Chcete podnik , kam mohou děti ?"
"inform(name=BarBar,price_range=expensive)","inform(name=X-name,price_range=X-price_range)",BarBar je dražší restaurace .,X-name je X-price_range restaurace .
"inform(area=Nusle,food=French,good_for_meal=dinner,name='Baráčnická rychta')","inform(area=X-area,food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Baráčnická rychta je v oblasti Nusle , podávají zde francouzská jídla a je to dobré místo na večeři .","X-name je v oblasti X-area , podávají zde X-food jídla a je to dobré místo na X-good_for_meal ."
"inform(count=2,food=American,kids_allowed=yes,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=yes,type=restaurant)","V nabídce jsou 2 restaurace , které podávají americké jídlo a jsou vhodné pro děti .","V nabídce jsou X-count restaurace , které podávají X-food jídlo a jsou vhodné pro děti ."
?confirm(kids_allowed=yes),?confirm(kids_allowed=yes),"Prosím potvrďte , že hledáte restauraci , která je vhodná pro děti ?","Prosím potvrďte , že hledáte restauraci , která je vhodná pro děti ?"
?request(area),?request(area),Kterou oblast mám prohledat ?,Kterou oblast mám prohledat ?
"inform(good_for_meal='lunch or dinner',name=Ananta)","inform(good_for_meal=X-good_for_meal,name=X-name)",Ananta se hodí na oběd i večeři,X-name se hodí na X-good_for_meal
?request(area),?request(area),Jaká oblast Vás konkrétně zajímá ?,Jaká oblast Vás konkrétně zajímá ?
?request(area),?request(area),V jaké části města byste si přáli hledat ?,V jaké části města byste si přáli hledat ?
"inform(kids_allowed=no,name=BarBar)","inform(kids_allowed=no,name=X-name)",Doporučila bych BarBar . Není přístupná pro děti .,Doporučila bych X-name . Není přístupná pro děti .
"inform(name=Ananta,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Ananta patří k těm levnějším .,X-name patří k těm X-price_range .
"inform(area=Hradčany,good_for_meal=dinner,kids_allowed=yes,name='Café Kampus')","inform(area=X-area,good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Café Kampus na Hradčanech podává večeři a děti jsou v restauraci vítány .,X-name na X-area podává X-good_for_meal a děti jsou v restauraci vítány .
"inform(name=Místo,price_range=cheap)","inform(name=X-name,price_range=X-price_range)",Místo má levné ceny .,X-name má X-price_range ceny .
"inform(kids_allowed=no,name='Švejk Restaurant')","inform(kids_allowed=no,name=X-name)",Restaurace Švejk není přístupná dětem .,X-name není přístupná dětem .
?request(area),?request(area),V jaké oblasti restauraci hledáte ?,V jaké oblasti restauraci hledáte ?
?request(area),?request(area),V jaké lokalitě byste chtěli jíst ?,V jaké lokalitě byste chtěli jíst ?
"inform(address='Žatecká 21',area=Nusle,name='Baráčnická rychta',phone=228686102)","inform(address=X-address,area=X-area,name=X-name,phone=X-phone)",Baráčnická rychta má telefonní číslo 228686102 . Leží v Nuslích na adrese Žatecká 21 .,X-name má telefonní číslo X-phone . Leží v X-area na adrese X-address .
"inform(name='Pivo & Basilico',price_range=moderate)","inform(name=X-name,price_range=X-price_range)",Restaurace Pivo & Basilico je cenově průměrná .,Restaurace X-name je cenově X-price_range .
?request(area),?request(area),V jaké oblasti restauraci hledáte ?,V jaké oblasti restauraci hledáte ?
"inform(kids_allowed=no,name=Ferdinanda)","inform(kids_allowed=no,name=X-name)",Ferdinanda je pro děti nevhodná .,X-name je pro děti nevhodná .
"inform(area=Hradčany,name='Green Spirit',price_range=moderate)","inform(area=X-area,name=X-name,price_range=X-price_range)","Na Hradčanech se nachází dobrá restaurace jménem Green Spirit , která je ve střední cenové skupině .","Na X-area se nachází dobrá restaurace jménem X-name , která je ve X-price_range cenové skupině ."
"inform(area=Žižkov,name=Místo,price_range=cheap)","inform(area=X-area,name=X-name,price_range=X-price_range)",Restaurace Místo je nízké ceny a je na Žižkově .,Restaurace X-name je X-price_range ceny a je na X-area .
"inform(food=Mexican,kids_allowed=yes,name=Ananta)","inform(food=X-food,kids_allowed=yes,name=X-name)",Ananta je mexická restaurace vhodná i pro návštěvu s dětmi .,X-name je X-food restaurace vhodná i pro návštěvu s dětmi .
"inform(count=3,food=vegetarian,kids_allowed=yes,type=restaurant)","inform(count=X-count,food=X-food,kids_allowed=yes,type=restaurant)",Našla jsem 3 další restaurace s vegetariánským menu a vhodné pro děti .,Našla jsem X-count další restaurace s X-food menu a vhodné pro děti .
