da,text,delex_da,delex_text
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=239),"Našla jsem 239 restaurací, pokud nezáleží na cenové skupině.",inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),"našla jsem X-count restaurací , pokud nezáleží na cenové skupině ."
?request(good_for_meal),"Chcete vědět, zda restaurace podává snídani, brunch, oběd nebo večeři?",?request(good_for_meal),"chcete vědět , zda restaurace podává snídani , brunch , oběd nebo večeři ?"
goodbye(),Na shledanou.,goodbye(),na shledanou .
"inform(near=""Powder Tower"")&inform(price_range=moderate)&inform(name=""U Tučňáků"")&inform(kids_allowed=no)","Restaurace U Tučňáků je blízko Prašné brány, je v normální cenové relaci a není vhodná pro děti.",inform(near=X-near)&inform(price_range=X-price_range)&inform(name=X-name)&inform(kids_allowed=no),"restaurace X-name je blízko X-near , je v X-price_range cenové relaci a není vhodná pro děti ."
"inform(type=restaurant)&inform(name=""Green Spirit"")",Mám tady hezkou restauraci Green Spirit.,inform(type=restaurant)&inform(name=X-name),mám tady hezkou restauraci X-name .
"inform(name=""Švejk Restaurant"")&inform(phone=215703506)",Na telefonním čísle 215703506 si můžete popovídat s fajn lidmi z restaurace Švejk.,inform(name=X-name)&inform(phone=X-phone),na telefonním čísle X-phone si můžete popovídat s fajn lidmi z X-name .
"inform(name=""Café Kampus"")&inform(food=vegetarian)",Restaurace Café Kampus je vegetariánská.,inform(name=X-name)&inform(food=X-food),restaurace X-name je X-food .
goodbye(),"Na shledanou, děkujeme za využití našich služeb.",goodbye(),"na shledanou , děkujeme za využití našich služeb ."
inform(type=restaurant)&inform(food=dont_care)&inform(count=239),"Mám tu 239 restaurací, které nabízí různé druhy kuchyní.",inform(type=restaurant)&inform(food=dont_care)&inform(count=X-count),"mám tu X-count restaurací , které nabízí různé druhy kuchyní ."
?request(price_range),Ano. Jakou cenovou kategorii hledáte?,?request(price_range),ano . jakou cenovou kategorii hledáte ?
"inform(name=""Green Spirit"")&inform(area=Hradčany)&inform(food=Indian)&inform(price_range=cheap)",Green Spirit je hezká levná indická restaurace a nachází se v oblasti Hradčan.,inform(name=X-name)&inform(area=X-area)&inform(food=X-food)&inform(price_range=X-price_range),X-name je hezká X-price_range X-food restaurace a nachází se v oblasti X-area .
"inform(name=""U Konšelů"")&inform(address=""Kaprova 25"")",Adresa do restaurace U Konšelů je Kaprova 25,inform(name=X-name)&inform(address=X-address),adresa do restaurace X-name je X-address
"inform(name=""Kočár z Vídně"")&inform(phone=285138023)",Telefon do restaurace Kočár z Vídně je 285138023.,inform(name=X-name)&inform(phone=X-phone),telefon do restaurace X-name je X-phone .
"inform(name=""Green Spirit"")&inform(good_for_meal=""lunch or dinner"")",V Green Spiritu se dá dobře naobědvat i navečeřet.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),v X-name se dá dobře X-good_for_meal .
goodbye(),Tak na shledanou !,goodbye(),tak na shledanou !
?request(price_range),"Omlouvám se, ale v jakých cenových skupinách si přejet hledat?",?request(price_range),"omlouvám se , ale v jakých cenových skupinách si přejet hledat ?"
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=239),"Dobře, našla jsem 239 dobrých restaurací, pokud vám nezáleží na cenách.",inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),"dobře , našla jsem X-count dobrých restaurací , pokud vám nezáleží na cenách ."
?request(food),"Prosím, v jaké části města si přejete hledat?",?request(food),"prosím , v jaké části města si přejete hledat ?"
"inform(name=""Baráčnická rychta"")&inform(price_range=moderate)&inform(food=vegetarian)&inform(good_for_meal=lunch)","Našla jsem restauraci Baráčnická rychta, která má normální ceny, je vhodná na obědy a nabízí vegetariánské jídlo.",inform(name=X-name)&inform(price_range=X-price_range)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal),"našla jsem restauraci X-name , která má X-price_range ceny , je vhodná na X-good_for_meal a nabízí X-food jídlo ."
inform_no_match(food=Italian)&inform_no_match(good_for_meal=lunch),"Není tu žádná restaurace, ve které by se dalo dobře naobědvat a zároveň by nabízela italská jídla.",inform_no_match(food=X-food)&inform_no_match(good_for_meal=X-good_for_meal),"není tu žádná restaurace , ve které by se dalo dobře X-good_for_meal a zároveň by nabízela X-food jídla ."
"inform(food=Czech)&inform(name=""Green Spirit"")",Restaurace Green Spirit nabízí hlavně česká jídla.,inform(food=X-food)&inform(name=X-name),restaurace X-name nabízí hlavně X-food jídla .
"inform(good_for_meal=dinner)&inform(name=""U Tučňáků"")",U Tučňáků je dobré místo na večeři.,inform(good_for_meal=X-good_for_meal)&inform(name=X-name),X-name je dobré místo na X-good_for_meal .
"inform(area=Karlín)&inform(name=""Green Spirit"")&inform(phone=262042062)",Green Spirit má číslo 262042062. Nachází se v Karlíně.,inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),X-name má číslo X-phone . nachází se v X-area .
goodbye(),Přeji příjemný den,goodbye(),přeji příjemný den
inform(name=Ananta)&inform(food=American)&inform(price_range=moderate),"Ananta je středně drahá restaurace, která podává americká jídla.",inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),"X-name je X-price_range restaurace , která podává X-food jídla ."
"inform_only_match(near=""Charles Bridge"")&inform_only_match(price_range=expensive)&inform_only_match(food=Chinese)&inform_only_match(name=""Café Kampus"")","Omlouvám se, Café Kampus je jediná drahá restaurace podávající čínskou kuchyni, která se nachází poblíž Karlova mostu.",inform_only_match(near=X-near)&inform_only_match(price_range=X-price_range)&inform_only_match(food=X-food)&inform_only_match(name=X-name),"omlouvám se , X-name je jediná X-price_range restaurace podávající X-food kuchyni , která se nachází poblíž X-near ."
"inform(name=""Café Kampus"")&inform(phone=296595756)",Do Café Kampus můžete volat na číslo 296595756.,inform(name=X-name)&inform(phone=X-phone),do X-name můžete volat na číslo X-phone .
goodbye(),Děkuji a na shledanou.,goodbye(),děkuji a na shledanou .
?request(price_range),Jakou cenovou skupinu hledáte?,?request(price_range),jakou cenovou skupinu hledáte ?
?request(price_range),Jaké ceny by tam měly být?,?request(price_range),jaké ceny by tam měly být ?
"inform(name=""Café Kampus"")&inform(price_range=moderate)",Café Kampus je cenově dostupná restaurace.,inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range restaurace s himalájským jídlem .
goodbye(),Na shledanou !,goodbye(),na shledanou !
inform(name=Ananta)&inform(food=Mexican),V Anantě vaří mexickou kuchyni,inform(name=X-name)&inform(food=X-food),v X-name vaří X-food kuchyni
inform(name=BarBar)&inform(type=restaurant),Našla jsem dobrou restauraci jménem BarBar.,inform(name=X-name)&inform(type=restaurant),našla jsem dobrou restauraci jménem X-name .
"inform_only_match(food=Czech)&inform_only_match(name=""Kočár z Vídně"")","Je mi líto, ale česká jídla zde připravuje pouze restaurace Kočár z Vídně.",inform_only_match(food=X-food)&inform_only_match(name=X-name),"je mi líto , ale X-food jídla zde připravuje pouze restaurace X-name ."
"inform(food=Italian)&inform(good_for_meal=lunch)&inform(name=""Kočár z Vídně"")",Restaurace Kočár z Vídně je dobré místo pro italskou kuchyni a na oběd.,inform(food=X-food)&inform(good_for_meal=X-good_for_meal)&inform(name=X-name),restaurace X-name je dobré místo pro X-food kuchyni a na X-good_for_meal .
"inform(address=""Újezd 17"")&inform(phone=251887025)&inform(price=""220 Kč"")&inform(name=""Green Spirit"")","Restauraci Green Spirit najdeme na adrese Újezd 17, má telefonní číslo 251887025 a průměrné jídlo zde stojí 220 Kč.",inform(address=X-address)&inform(phone=X-phone)&inform(price=X-price)&inform(name=X-name),"restauraci X-name najdeme na adrese X-address , má telefonní číslo X-phone a průměrné jídlo zde stojí X-price ."
goodbye(),Děkuji za zavolání.,goodbye(),děkuji za zavolání .
"inform(near=""Charles Bridge"")&inform(name=Ananta)",Našla jsem Anantu poblíž Karlova mostu.,inform(near=X-near)&inform(name=X-name),našla jsem X-name poblíž X-near .
"inform(name=""Café Kampus"")&inform(near=""TV Tower"")&inform(good_for_meal=dinner)",Café Kampus v blízkosti Žižkovské televizní věže se hodí na večeři.,inform(name=X-name)&inform(near=X-near)&inform(good_for_meal=X-good_for_meal),X-name v blízkosti X-near se hodí na X-good_for_meal .
"inform(name=""Pivo & Basilico"")&inform(address=""Náprstkova 14"")&inform(phone=297286162)&inform(food=Czech)&inform(kids_allowed=none)","Pivo & Basilico je česká restaurace na adrese Náprstkova 14. Telefonní číslo je 297286162. Nemám informace o tom, zda je povolen vstup s dětmi.",inform(name=X-name)&inform(address=X-address)&inform(phone=X-phone)&inform(food=X-food)&inform(kids_allowed=none),"X-name je X-food restaurace na adrese X-address . telefonní číslo je X-phone . nemám informace o tom , zda je povolen vstup s dětmi ."
goodbye(),Děkuji.,goodbye(),děkuji .
"inform(name=""Green Spirit"")&inform(food=American)&inform(kids_allowed=no)",Green Spirit servíruje americká jídla a není zde povolen vstup s dětmi.,inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=no),X-name servíruje X-food jídla a není zde povolen vstup s dětmi .
"inform(area=""Malá Strana"")&inform(phone=217687784)&inform(name=""Baráčnická rychta"")","Telefonní číslo Baráčnické rychty, která se nachází na Malé Straně, je 217687784.",inform(area=X-area)&inform(phone=X-phone)&inform(name=X-name),"telefonní číslo X-name , která se nachází na X-area , je X-phone ."
goodbye(),Dobrý den,goodbye(),dobrý den
inform(name=Ferdinanda)&inform(price_range=expensive)&inform(good_for_meal=lunch),"Ferdinanda je drahá restaurace, kde dobře poobědváte.",inform(name=X-name)&inform(price_range=X-price_range)&inform(good_for_meal=X-good_for_meal),"X-name je X-price_range restaurace , kde dobře X-good_for_meal ."
"inform(address=""Štefánikova 32"")&inform(name=""Kočár z Vídně"")&inform(phone=229002691)",Kočár z Vídně sídlí na adrese Štefánikova 32 a telefonní číslo je 229002691.,inform(address=X-address)&inform(name=X-name)&inform(phone=X-phone),X-name sídlí na adrese X-address a telefonní číslo je X-phone .
"inform(area=""Staré Město"")&inform(name=""U Tučňáků"")",U Tučňáků je příjemná restaurace v lokalitě Starého Města.,inform(area=X-area)&inform(name=X-name),X-name je příjemná restaurace v lokalitě X-area .
goodbye(),Bylo mi potěšením. Na shledanou.,goodbye(),bylo mi potěšením . na shledanou .
?request(food),Jaký druh jídla konkrétně hledáte?,?request(food),jaký druh jídla konkrétně hledáte ?
inform(type=restaurant)&inform(food=dont_care)&inform(count=239),"Je tu 239 restaurací, které nabízejí různé druhy jídel.",inform(type=restaurant)&inform(food=dont_care)&inform(count=X-count),"je tu X-count restaurací , které nabízejí různé druhy jídel ."
"?select(kids_allowed=""yes or no"")",Hledáte restauraci vhodnou pro děti?,"?select(kids_allowed=""yes or no"")",hledáte restauraci vhodnou pro děti ?
"inform(name=""Baráčnická rychta"")&inform(food=Czech)&inform(kids_allowed=yes)",Baráčnická rychta je česká restaurace vhodná pro děti.,inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=yes),X-name je X-food restaurace vhodná pro děti .
"inform(name=""Green Spirit"")&inform(address=""Žatecká 10"")&inform(near=""Wenceslas Square"")","Green Spirit je poblíž Václavského náměstí, v ulici Žatecká 10.",inform(name=X-name)&inform(address=X-address)&inform(near=X-near),"X-name je poblíž X-near , v ulici X-address ."
inform_no_match(area=Nusle),Nemám tu blízko Nuslí žádnou restauraci.,inform_no_match(area=X-area),nemám tu blízko X-area žádnou restauraci .
inform_no_match(area=Hradčany),Na Hradčanech nejsou žádné restaurace.,inform_no_match(area=X-area),na X-area nejsou žádné restaurace .
goodbye(),Na shledanou,goodbye(),na shledanou
?request(price_range),Která cenová kategorie vyhovuje vašim potřebám?,?request(price_range),která cenová kategorie vyhovuje vašim potřebám ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=239),Mám tu 239 restaurací všech cenových kategorií.,inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),mám tu X-count restaurací všech cenových kategorií .
?request(good_for_meal),Jaké jídlo konkrétně hledáte?,?request(good_for_meal),jaké jídlo konkrétně hledáte ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=239),Je zde 239 restaurací bez upřesnění specifické cenové kategorie.,inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),je zde X-count restaurací bez upřesnění specifické cenové kategorie .
?request(food),Jaký typ jídla chcete hledat?,?request(food),jaký typ jídla chcete hledat ?
"inform(name=""U Konšelů"")&inform(food=Mexican)&inform(price_range=cheap)",Restaurace U Konšelů má levné mexické jídlo.,inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),restaurace X-name má X-price_range X-food jídlo .
"inform(name=""Pivo & Basilico"")&inform(postcode=""117 00"")",Restaurace Pivo & Basilico leží v oblasti s PSČ 117 00.,inform(name=X-name)&inform(postcode=X-postcode),restaurace X-name leží v oblasti s psč X-postcode .
goodbye(),Na slyšenou !,goodbye(),na slyšenou !
inform_no_match(food=German)&inform_no_match(kids_allowed=yes),"Je mi líto, ale nepodařilo se mi najít žádnou restauraci přístupnou dětem, která by podávala německá jídla.",inform_no_match(food=X-food)&inform_no_match(kids_allowed=yes),"je mi líto , ale nepodařilo se mi najít žádnou restauraci přístupnou dětem , která by podávala X-food jídla ."
"inform(name=""Green Spirit"")&inform(food=German)",V restauraci Green Spirit podávají německá jídla.,inform(name=X-name)&inform(food=X-food),v restauraci X-name podávají X-food jídla .
inform(name=Ferdinanda)&inform(kids_allowed=no),Mám tu příjemnou restauraci Ferdinanda a děti jsou zde vítány.,inform(name=X-name)&inform(kids_allowed=no),mám tu příjemnou restauraci X-name a děti jsou zde vítány .
"inform(address=""Štefánikova 24"")&inform(phone=225264876)&inform(name=""Baráčnická rychta"")",Adresa Baráčnické rychty je Štefánikova 24. Její telefon je 225264876,inform(address=X-address)&inform(phone=X-phone)&inform(name=X-name),adresa X-name je X-address . její telefon je X-phone
"inform(name=""Café Kampus"")&inform(price_range=moderate)",Restaurace Café Kampus má také střední ceny.,inform(name=X-name)&inform(price_range=X-price_range),restaurace X-name má také X-price_range ceny .
goodbye(),Děkuji a přeji krásný den.,goodbye(),děkuji a přeji krásný den .
"inform(name=""Baráčnická rychta"")&inform(price_range=cheap)",Baráčnická rychta je levná.,inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range .
?reqmore(),Mohu vám ještě pomoci s něčím dalším?,?reqmore(),mohu vám ještě pomoci s něčím dalším ?
"inform(name=""Pivo & Basilico"")&inform(type=restaurant)","Pivo & Basilico je pěkná restaurace, která vyhovuje vašim požadavkům.",inform(name=X-name)&inform(type=restaurant),"X-name je pěkná restaurace , která vyhovuje vašim požadavkům ."
"inform(address=""Malostranské náměstí 30"")&inform(name=Ananta)",Adresa podniku Ananta je Malostranské náměstí 30.,inform(address=X-address)&inform(name=X-name),adresa podniku X-name je X-address .
"inform(price=""between 110 and 150 Kč"")&inform(name=""Kočár z Vídně"")",Ceny v Kočáru z Vídně se většinou pohybují mezi 110 a 150 Kč.,inform(price=X-price)&inform(name=X-name),ceny v X-name se většinou pohybují X-price .
"inform(area=Dejvice)&inform(name=""Pivo & Basilico"")",Restaurace Pivo & Basilico leží v Dejvicích.,inform(area=X-area)&inform(name=X-name),restaurace X-name leží v X-area .
goodbye(),Na shledanou a mějte se hezky.,goodbye(),na shledanou a mějte se hezky .
"inform(area=Nusle)&inform(name=""U Tučňáků"")&inform(good_for_meal=dinner)",U Tučňáků je v Nuslích a je to dobré místo na večeři.,inform(area=X-area)&inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name je v X-area a je to dobré místo na X-good_for_meal .
"inform(area=""Malá Strana"")&inform(name=Místo)&inform(good_for_meal=dinner)","Místo je krásná restaurace na Malé Straně, která podává večeře.",inform(area=X-area)&inform(name=X-name)&inform(good_for_meal=X-good_for_meal),"X-name je krásná restaurace na X-area , která podává X-good_for_meal ."
"inform(name=""Café Savoy"")&inform(kids_allowed=yes)",Café Savoy povoluje vstup s dětmi.,inform(name=X-name)&inform(kids_allowed=yes),X-name povoluje vstup s dětmi .
"inform_only_match(name=""Café Savoy"")&inform_only_match(area=Karlín)","Omlouvám se, v Karlíně nejsou žádné restaurace kromě Café Savoy.",inform_only_match(name=X-name)&inform_only_match(area=X-area),"omlouvám se , v X-area nejsou žádné restaurace kromě X-name ."
goodbye(),Přeji hezký den,goodbye(),přeji hezký den
"inform(name=""Café Kampus"")&inform(near=""Prague Castle"")&inform(price_range=moderate)",Café Kampus je středně drahá restaurace nacházející se v lokalitě blízko Pražského hradu.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),X-name je X-price_range restaurace nacházející se v lokalitě blízko X-near .
"inform(name=""Green Spirit"")&inform(good_for_meal=dinner)",Green Spirit je dobrá restaurace na večeři.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name je dobrá restaurace na X-good_for_meal .
?reqmore(),Mohu vám poskytnout nějaké další informace?,?reqmore(),mohu vám poskytnout nějaké další informace ?
?reqmore(),Chcete vědět ještě něco dalšího?,?reqmore(),chcete vědět ještě něco dalšího ?
?reqmore(),Mohu vám poskytnout ještě nějaké informace?,?reqmore(),mohu vám poskytnout ještě nějaké informace ?
goodbye(),Na shledanou a mějte se hezky.,goodbye(),na shledanou a mějte se hezky .
inform_no_match(food=Italian)&inform_no_match(good_for_meal=brunch),K brunchi se nehodí žádná restaurace s italskou kuchyní.,inform_no_match(food=X-food)&inform_no_match(good_for_meal=X-good_for_meal),k X-good_for_meal se nehodí žádná restaurace s X-food kuchyní .
inform(name=BarBar)&inform(food=American),"Našla jsem restauraci jménem BarBar, která podává americká jídla.",inform(name=X-name)&inform(food=X-food),"našla jsem restauraci jménem X-name , která podává X-food jídla ."
"inform(price=""between 180 and 550 Kč"")&inform(address=""Štefánikova 24"")&inform(phone=293637134)&inform(name=""Švejk Restaurant"")",Švejk Restaurant je v ulici Štefánikova 24 a ceny se pohybují mezi 180 a 550 Kč. Telefonní číslo je 293637134.,inform(price=X-price)&inform(address=X-address)&inform(phone=X-phone)&inform(name=X-name),X-name je v ulici X-address a ceny se pohybují X-price . telefonní číslo je X-phone .
goodbye(),"Nemáte zač, na shledanou.",goodbye(),"nemáte zač , na shledanou ."
?select(area=Nusle),"Chcete hledat v Nuslích, že?",?select(area=X-area),"chcete hledat v X-area , že ?"
"?select(kids_allowed=""no or yes"")","Prosím zvolte si, jestli chcete restauraci vhodnou pro děti, nebo ne.","?select(kids_allowed=""no or yes"")","prosím zvolte si , jestli chcete restauraci vhodnou pro děti , nebo ne ."
?confirm(kids_allowed=no),"Prosím potvrďte, že chcete restauraci vhodnou pro děti.",?confirm(kids_allowed=no),"prosím potvrďte , že chcete restauraci vhodnou pro děti ."
"?select(kids_allowed=""no or yes"")","Prosím, potvrďte svou volbu restaurace přátelské k dětem.","?select(kids_allowed=""no or yes"")","prosím , potvrďte svou volbu restaurace přátelské k dětem ."
inform(type=restaurant)&inform(count=135)&inform(kids_allowed=no),"Mám tu 135 restaurací, které nejsou vhodné pro děti.",inform(type=restaurant)&inform(count=X-count)&inform(kids_allowed=no),"mám tu X-count restaurací , které nejsou vhodné pro děti ."
?request(area),Měli byste zájem o jinou oblast?,?request(area),měli byste zájem o jinou oblast ?
"inform(name=""Green Spirit"")&inform(kids_allowed=no)",Zkontrolovala jsem také restauraci Green Spirit a vstup s dětmi zde není povolen.,inform(name=X-name)&inform(kids_allowed=no),zkontrolovala jsem také restauraci X-name a vstup s dětmi zde není povolen .
"inform(name=""U Konšelů"")&inform(food=vegetarian)&inform(price_range=cheap)",Restaurace U Konšelů podává vegetariánská jídla a je levná.,inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),restaurace X-name podává X-food jídla a je X-price_range .
"inform(name=""Café Kampus"")&inform(phone=245558550)&inform(good_for_meal=dinner)",Telefonní číslo do restaurace Café Kampus je 245558550. Je to dobré místo na večeři.,inform(name=X-name)&inform(phone=X-phone)&inform(good_for_meal=X-good_for_meal),telefonní číslo do restaurace X-name je X-phone . je to dobré místo na X-good_for_meal .
inform(area=Dejvice)&inform(name=BarBar),BarBar se nachází blízko Dejvic.,inform(area=X-area)&inform(name=X-name),X-name se nachází blízko X-area .
inform_no_match(area=Hradčany)&inform_no_match(food=Asian),Na Hradčanech nesídlí žádné restaurace podávající asijskou kuchyni,inform_no_match(area=X-area)&inform_no_match(food=X-food),na X-area nesídlí žádné restaurace podávající X-food kuchyni
goodbye(),Dobrou chuť !,goodbye(),dobrou chuť !
inform(name=Ananta)&inform(food=Mexican)&inform(kids_allowed=yes),Ananta je mexická restaurace vhodná i pro návštěvu s dětmi.,inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=yes),X-name je X-food restaurace vhodná i pro návštěvu s dětmi .
inform(type=restaurant)&inform(food=Mexican)&inform(kids_allowed=yes)&inform(count=3),Našla jsem 3 mexické restaurace vhodné pro návštěvu s dětmi.,inform(type=restaurant)&inform(food=X-food)&inform(kids_allowed=yes)&inform(count=X-count),našla jsem X-count X-food restaurace vhodné pro návštěvu s dětmi .
?request(near),Mám hledat poblíž určitého místa?,?request(near),mám hledat poblíž určitého místa ?
"inform(name=""Café Savoy"")&inform(near=""Prague Castle"")&inform(food=American)&inform(kids_allowed=yes)","Café Savoy je americká restaurace vstřícná k dětem, je blízko Pražského hradu.",inform(name=X-name)&inform(near=X-near)&inform(food=X-food)&inform(kids_allowed=yes),"X-name je X-food restaurace vstřícná k dětem , je blízko X-near ."
"inform(name=""U Tučňáků"")&inform(address=""Žatecká 8"")",U Tučňáků je na Žatecké 8,inform(name=X-name)&inform(address=X-address),X-name je na X-address
"inform(phone=212289459)&inform(name=""Café Kampus"")",Do restaurace Café Kampus volejte číslo 212289459.,inform(phone=X-phone)&inform(name=X-name),do restaurace X-name volejte číslo X-phone .
"inform(name=""Green Spirit"")&inform(price_range=expensive)",Green Spirit patří k těm dražším.,inform(name=X-name)&inform(price_range=X-price_range),X-name patří k těm X-price_range .
goodbye(),Na shledanou a mějte se hezky.,goodbye(),na shledanou a mějte se hezky .
"inform(near=""Wenceslas Square"")&inform(name=""U Tučňáků"")",Restaurace U Tučňáků je poblíž Václavského náměstí.,inform(near=X-near)&inform(name=X-name),restaurace X-name je poblíž X-near .
goodbye(),Na shledanou !,goodbye(),na shledanou !
inform(area=Nusle)&inform(type=restaurant)&inform(good_for_meal=lunch)&inform(kids_allowed=yes)&inform(count=4),"Našla jsem 4 restaurace, kde jsou děti vítány, nachází se v Nuslích a dobře zde poobědváte.",inform(area=X-area)&inform(type=restaurant)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=yes)&inform(count=X-count),"našla jsem X-count restaurace , kde jsou děti vítány , nachází se v X-area a dobře zde X-good_for_meal ."
?request(price_range),"Můžu se zeptat, jakou cenovou kategorii si přejete?",?request(price_range),"můžu se zeptat , jakou cenovou kategorii si přejete ?"
?request(price_range),V jaké cenové skupině hledáte?,?request(price_range),v jaké cenové skupině hledáte ?
?request(price_range),Kolik chcete utratit?,?request(price_range),kolik chcete utratit ?
inform(name=Místo)&inform(good_for_meal=dinner),Místo je pěkná restaurace vhodná pro večeři.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name je pěkná restaurace vhodná pro X-good_for_meal .
"inform(name=""Baráčnická rychta"")&inform(type=restaurant)",Baráčnická rychta dělá skvělá jídla.,inform(name=X-name)&inform(type=restaurant),X-name dělá skvělá jídla .
"inform(type=restaurant)&inform(name=""Kočár z Vídně"")",Jako příjemná restaurace je na seznamu Kočár z Vídně.,inform(type=restaurant)&inform(name=X-name),jako příjemná restaurace je na seznamu X-name .
goodbye(),Mějte se !,goodbye(),mějte se !
?select(food=French),Sháníte francouzskou restauraci?,?select(food=X-food),sháníte X-food restauraci ?
inform(name=Ananta)&inform(good_for_meal=dinner)&inform(food=German),"Ananta je dobrá restaurace, která nabízí večeře a podává německé jídlo.",inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(food=X-food),"X-name je dobrá restaurace , která nabízí X-good_for_meal a podává X-food jídlo ."
"inform(address=""Náprstkova 25"")&inform(name=BarBar)",BarBar se nachází na ulici Náprstkova 25,inform(address=X-address)&inform(name=X-name),X-name se nachází na ulici X-address
"inform(near=""Prague Castle"")&inform(name=Ferdinanda)",Restaurace Ferdinanda se nachází blízko Pražského hradu.,inform(near=X-near)&inform(name=X-name),restaurace X-name se nachází blízko X-near .
goodbye(),"Děkuji, přeji hezký den.",goodbye(),"děkuji , přeji hezký den ."
"inform(name=""Švejk Restaurant"")&inform(price_range=expensive)",Švejk Restaurant je spíš drahý.,inform(name=X-name)&inform(price_range=X-price_range),X-name je spíš X-price_range .
inform(name=BarBar)&inform(price_range=moderate),"Mám tu příjemnou restauraci BarBar, která je za běžné ceny.",inform(name=X-name)&inform(price_range=X-price_range),"mám tu příjemnou restauraci X-name , která je za X-price_range ceny ."
"inform(address=""Tržiště 36"")&inform(name=""Kočár z Vídně"")",Kočár z Vídně sídlí na Tržišti 36,inform(address=X-address)&inform(name=X-name),X-name sídlí na X-address
"inform(name=""Švejk Restaurant"")&inform(food=American)","Mám tu další restauraci, která nabízí americká jídla. Nazývá se Švejk Restaurant.",inform(name=X-name)&inform(food=X-food),"mám tu další restauraci , která nabízí X-food jídla . nazývá se X-name ."
goodbye(),Děkuji a přeji hezký den.,goodbye(),děkuji a přeji hezký den .
inform(name=BarBar)&inform(area=Vinohrady)&inform(price_range=cheap)&inform(kids_allowed=yes),"BarBar je levná restaurace na Vinohradech, která je vhodná pro návštěvu s dětmi.",inform(name=X-name)&inform(area=X-area)&inform(price_range=X-price_range)&inform(kids_allowed=yes),"X-name je X-price_range restaurace na X-area , která je vhodná pro návštěvu s dětmi ."
"inform(name=""Švejk Restaurant"")&inform(address=""Tržiště 14"")",Restaurace Švejk Restaurant se nachází na adrese Tržiště 14.,inform(name=X-name)&inform(address=X-address),restaurace X-name se nachází na adrese X-address .
"inform(near=""Charles Bridge"")&inform(name=""Pivo & Basilico"")",Restauraci Pivo & Basilico najdete nedaleko Karlova mostu.,inform(near=X-near)&inform(name=X-name),restauraci X-name najdete nedaleko X-near .
goodbye(),Přeji příjemný den,goodbye(),přeji příjemný den
inform_no_match(good_for_meal=breakfast)&inform_no_match(food=French),Na snídani se nehodí žádná restaurace s francouzským menu,inform_no_match(good_for_meal=X-good_for_meal)&inform_no_match(food=X-food),na X-good_for_meal se nehodí žádná restaurace s X-food menu
inform(name=Ananta)&inform(good_for_meal=breakfast)&inform(food=Mexican),Restaurace Ananta je dobrá v době snídaní a nabízí mexickou kuchyni.,inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(food=X-food),restaurace X-name je dobrá v době X-good_for_meal a nabízí X-food kuchyni .
"inform(name=""Pivo & Basilico"")&inform(type=restaurant)",Mám tu pro Vás restauraci Pivo & Basilico.,inform(name=X-name)&inform(type=restaurant),mám tu pro vás restauraci X-name .
"inform(address=""Žatecká 46"")&inform(phone=210878703)&inform(name=BarBar)",Adresa BarBaru je Žatecká 46. Jejich telefonní číslo je 210878703,inform(address=X-address)&inform(phone=X-phone)&inform(name=X-name),adresa X-name je X-address . jejich telefonní číslo je X-phone
"inform(name=BarBar)&inform(postcode=""127 00"")",BarBar má poštovní směrovací číslo 127 00.,inform(name=X-name)&inform(postcode=X-postcode),X-name má poštovní směrovací číslo X-postcode .
goodbye(),Děkuji.,goodbye(),děkuji .
"inform(name=""Pivo & Basilico"")&inform(food=French)&inform(price_range=cheap)&inform(kids_allowed=yes)",Restaurace Pivo & Basilico je vstřícná k dětem a nabízí levná francouzská jídla.,inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range)&inform(kids_allowed=yes),restaurace X-name je vstřícná k dětem a nabízí X-price_range X-food jídla .
