da,delex_da,text,delex_text
"inform(food=vegetarian,name='U Tučňáků')","inform(food=X-food,name=X-name)","Je tu příjemná restaurace jménem U Tučňáků , kde podávají vegetariánské jídlo .","Je tu příjemná restaurace jménem X-name , kde podávají X-food jídlo ."
goodbye(),goodbye(),Tak na shledanou !,Tak na shledanou !
"inform(name='Baráčnická rychta',price='110 Kč')","inform(name=X-name,price=X-price)",Cena Baráčnické rychty je 110 Kč .,Cena X-name je X-price .
goodbye(),goodbye(),Děkuji a přeji krásný den,Děkuji a přeji krásný den
goodbye(),goodbye(),"Na shledanou , děkujeme za využití našich služeb .","Na shledanou , děkujeme za využití našich služeb ."
"inform(food=Czech,name='Švejk Restaurant',near='TV Tower')","inform(food=X-food,name=X-name,near=X-near)",Švejk Restaurant se nachází blízko televizní věže a servíruje česká jídla .,X-name se nachází blízko X-near a servíruje X-food jídla .
"inform(address='Kaprova 7',name='Pivo & Basilico')","inform(address=X-address,name=X-name)",Restaurace Pivo & Basilico se nachází v ulici Kaprova 7 .,Restaurace X-name se nachází v ulici X-address .
goodbye(),goodbye(),Bylo mi potěšením . Na shledanou .,Bylo mi potěšením . Na shledanou .
"inform(area=Karlín,name='Baráčnická rychta')","inform(area=X-area,name=X-name)",Baráčnická rychta má sídlo v Karlíně .,X-name má sídlo v X-area .
"inform(area=Karlín,name='U Tučňáků')","inform(area=X-area,name=X-name)",U Tučňáků se nachází v Karlíně .,X-name se nachází v X-area .
goodbye(),goodbye(),Tak na shledanou !,Tak na shledanou !
"inform(kids_allowed=yes,name='Pivo & Basilico')","inform(kids_allowed=yes,name=X-name)",Pivo & Basilico se hodí pro děti .,X-name se hodí pro děti .
"inform(kids_allowed=no,name='Pivo & Basilico',price_range=cheap)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)","Pivo & Basilico je levná restaurace , která není vhodná pro děti .","X-name je X-price_range restaurace , která není vhodná pro děti ."
"inform(area='Malá Strana',name='Baráčnická rychta')","inform(area=X-area,name=X-name)",Restaurace Baráčnická rychta leží na Malé Straně .,Restaurace X-name leží na X-area .
goodbye(),goodbye(),Na shledanou a hezký den .,Na shledanou a hezký den .
"inform(food=vegetarian,name='Baráčnická rychta')","inform(food=X-food,name=X-name)","Našla jsem Baráčnickou rychtu , restauraci , která nabízí vegetariánská jídla .","Našla jsem X-name , restauraci , která nabízí X-food jídla ."
"inform(food=French,kids_allowed=yes,name='Pivo & Basilico',price_range=cheap)","inform(food=X-food,kids_allowed=yes,name=X-name,price_range=X-price_range)",Restaurace Pivo & Basilico je vstřícná k dětem a nabízí levná francouzská jídla .,Restaurace X-name je vstřícná k dětem a nabízí X-price_range X-food jídla .
goodbye(),goodbye(),Děkuji za zavolání . Děkuji .,Děkuji za zavolání . Děkuji .
?request(near),?request(near),Prosím potvrďte svoji preferovanou oblast .,Prosím potvrďte svoji preferovanou oblast .
"inform(address='Tržiště 30',name=Ferdinanda,phone=294484724)","inform(address=X-address,name=X-name,phone=X-phone)","Restaurace Ferdinanda se nachází na adrese Tržiště 30 , telefonní kontakt je 294484724","Restaurace X-name se nachází na adrese X-address , telefonní kontakt je X-phone"
"inform(address='Štefánikova 36',name='Café Kampus')","inform(address=X-address,name=X-name)",Café Kampus se nachází na ulici Štefánikova 36,X-name se nachází na ulici X-address
"?select(kids_allowed=dont_care,kids_allowed=yes)","?select(kids_allowed=dont_care,kids_allowed=yes)","Přejete si restauraci , kde je povolen vstup s dětmi , nebo to pro vás není důležité ?","Přejete si restauraci , kde je povolen vstup s dětmi , nebo to pro vás není důležité ?"
"inform(kids_allowed=yes,name='Švejk Restaurant')","inform(kids_allowed=yes,name=X-name)",Restaurace Švejk Restaurant povoluje vstup s dětmi .,X-name Restaurant povoluje vstup s dětmi .
"inform(address='Karmelitská 46',name='Café Savoy',phone=217659364)","inform(address=X-address,name=X-name,phone=X-phone)",Adresa Café Savoy je Karmelitská 46 a jejich telefonní číslo je 217659364 .,Adresa X-name je X-address a jejich telefonní číslo je X-phone .
?request(price_range),?request(price_range),Upřednostňujete některou cenovou skupinu ?,Upřednostňujete některou cenovou skupinu ?
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Hledáte restauraci , kam můžete s dětmi ?","Hledáte restauraci , kam můžete s dětmi ?"
"inform(name=BarBar,price='between 290 and 580 Kč')","inform(name=X-name,price=X-price)",Ceny v restauraci BarBar jsou mezi 290 a 580 Kč .,Ceny v restauraci X-name jsou X-price .
"inform(good_for_meal=dinner,kids_allowed=yes,name='Green Spirit')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)","Green Spirit je dobré místo na večeři , kde je povolen vstup s dětmi .","X-name je dobré místo na X-good_for_meal , kde je povolen vstup s dětmi ."
goodbye(),goodbye(),"Děkuji Vám , mějte se krásně","Děkuji Vám , mějte se krásně"
goodbye(),goodbye(),Na shledanou . Omlouvám se .,Na shledanou . Omlouvám se .
?request(price_range),?request(price_range),O jakou cenovou skupinu byste měli zájem ?,O jakou cenovou skupinu byste měli zájem ?
"inform(name=BarBar,price='150 Kč')","inform(name=X-name,price=X-price)",Cena v BarBaru je 150 Kč,Cena v X-name je X-price
goodbye(),goodbye(),Přeji dobrou chuť k večeři .,Přeji dobrou chuť k večeři .
goodbye(),goodbye(),Děkuji a přeji krásný den .,Děkuji a přeji krásný den .
"inform(address='Národní 39',area=Dejvice,name=BarBar)","inform(address=X-address,area=X-area,name=X-name)","Adresa podniku BarBar je Národní 39 , v oblasti Dejvice","Adresa podniku X-name je X-address , v oblasti X-area"
?request(near),?request(near),"Je nějaká oblast , poblíž které si přejete hledat restauraci ?","Je nějaká oblast , poblíž které si přejete hledat restauraci ?"
goodbye(),goodbye(),Děkuji . Zase někdy na shledanou .,Děkuji . Zase někdy na shledanou .
?request(price_range),?request(price_range),Chtěli byste určitou cenovou třídu ?,Chtěli byste určitou cenovou třídu ?
goodbye(),goodbye(),"Na shledanou , přeji Vám krásný den .","Na shledanou , přeji Vám krásný den ."
"inform(good_for_meal=lunch,kids_allowed=yes,name='Green Spirit')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Restaurace Green Spirit nabízí obědy a je vhodná pro návštěvu s dětmi .,Restaurace X-name nabízí X-good_for_meal a je vhodná pro návštěvu s dětmi .
"inform_no_match(area='Malá Strana',food=French)","inform_no_match(area=X-area,food=X-food)","Omlouvám se , nenašla jsem na Malé Straně žádné restaurace , které by podávaly francouzská jídla .","Omlouvám se , nenašla jsem na X-area žádné restaurace , které by podávaly X-food jídla ."
"inform(name=BarBar,near='Petřín Tower',price_range=moderate)","inform(name=X-name,near=X-near,price_range=X-price_range)","BarBar najdete poblíž Petřínské rozhledny , ceny jsou tu střední .","X-name najdete poblíž X-near , ceny jsou tu X-price_range ."
"inform_no_match(area=Karlín,good_for_meal=brunch)","inform_no_match(area=X-area,good_for_meal=X-good_for_meal)","Nenašla jsem žádné restaurace , kde byste si mohli dát brunch a které by byly v Karlíně .","Nenašla jsem žádné restaurace , kde byste si mohli X-good_for_meal a které by byly v X-area ."
"inform(food=Asian,good_for_meal=dinner,name='Švejk Restaurant')","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)",Švejk Restaurant je restaurace vhodná na večeři a nabízí asijské menu,X-name je restaurace vhodná na X-good_for_meal a nabízí X-food menu
"inform(count=2,good_for_meal=brunch,type=restaurant)","inform(count=X-count,good_for_meal=X-good_for_meal,type=restaurant)","Mám tu 2 restaurace , které podávají brunch .","Mám tu X-count restaurace , které podávají X-good_for_meal ."
"inform(address='Žatecká 46',name=BarBar,phone=210878703)","inform(address=X-address,name=X-name,phone=X-phone)",Adresa BarBaru je Žatecká 46 . Jejich telefonní číslo je 210878703,Adresa X-name je X-address . Jejich telefonní číslo je X-phone
"inform(name='Café Savoy',type=restaurant)","inform(name=X-name,type=restaurant)",Mám tu příjemnou restauraci Café Savoy .,Mám tu příjemnou restauraci X-name .
?confirm(area=dont_care),?confirm(area=dont_care),"Mohu potvrdit , že vám nezáleží na konkrétní lokalitě ?","Mohu potvrdit , že vám nezáleží na konkrétní lokalitě ?"
"inform(address='Tržiště 27',name=Ferdinanda)","inform(address=X-address,name=X-name)",Adresa Ferdinandy je Tržiště 27,Adresa X-name je X-address
goodbye(),goodbye(),Děkuji za zavolání . Na shledanou .,Děkuji za zavolání . Na shledanou .
goodbye(),goodbye(),Na slyšenou příště .,Na slyšenou příště .
"inform(name='Švejk Restaurant',type=restaurant)","inform(name=X-name,type=restaurant)",Jméno této restaurace je restaurace Švejk .,Jméno této restaurace je X-name .
"inform(area=Hradčany,name='Švejk Restaurant')","inform(area=X-area,name=X-name)",Restaurace Švejk je v oblasti Hradčan .,X-name je v oblasti X-area .
"inform(area=Žižkov,name='Švejk Restaurant')","inform(area=X-area,name=X-name)",Švejk Restaurant sídlí na Žižkově .,X-name sídlí na X-area .
goodbye(),goodbye(),Děkuji a přeji krásný den .,Děkuji a přeji krásný den .
goodbye(),goodbye(),Není vůbec za co . Na shledanou .,Není vůbec za co . Na shledanou .
?request(near),?request(near),"Chcete , aby byla někde poblíž ?","Chcete , aby byla někde poblíž ?"
"inform(area=Vinohrady,name='U Tučňáků')","inform(area=X-area,name=X-name)",U Tučňáků se nachází na Vinohradech,X-name se nachází na X-area
"inform(address='Malostranské náměstí 25',name='Green Spirit',price='between 100 and 180 Kč')","inform(address=X-address,name=X-name,price=X-price)",Green Spirit se nachází na Malostranském náměstí 25 . Ceny se zde pohybují od 100 do 180 Kč .,X-name se nachází na X-address . Ceny se zde pohybují X-price .
"inform_no_match(food=Italian,kids_allowed=yes)","inform_no_match(food=X-food,kids_allowed=yes)","Bohužel nevím o žádné restauraci vhodné pro děti , ve které by se podávala italská jídla .","Bohužel nevím o žádné restauraci vhodné pro děti , ve které by se podávala X-food jídla ."
goodbye(),goodbye(),Mějte se !,Mějte se !
?confirm(food=Asian),?confirm(food=X-food),"Potvrdíte mi , že hledáte asijskou kuchyni ?","Potvrdíte mi , že hledáte X-food kuchyni ?"
inform_no_match(area=Karlín),inform_no_match(area=X-area),V Karlíně nevím o žádných restauracích .,V X-area nevím o žádných restauracích .
?request(price_range),?request(price_range),Jakou máte přibližně cenovou představu ?,Jakou máte přibližně cenovou představu ?
goodbye(),goodbye(),Rádo se stalo . Na shledanou .,Rádo se stalo . Na shledanou .
"inform(address='Žatecká 13',name='Café Savoy',phone=241056554)","inform(address=X-address,name=X-name,phone=X-phone)",Café Savoy má telefonní číslo 241056554 a leží na adrese Žatecká 13 .,X-name má telefonní číslo X-phone a leží na adrese X-address .
"inform(address='Újezd 22',name=BarBar)","inform(address=X-address,name=X-name)",Adresa restaurace BarBar je Újezd 22 . Mohu vám ještě s něčím pomoci ?,Adresa restaurace X-name je X-address . Mohu vám ještě s něčím pomoci ?
"inform(kids_allowed=no,name='Green Spirit',price_range=expensive)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)",Green Spirit je drahá restaurace se zákazem vstupu dětem .,X-name je X-price_range restaurace se zákazem vstupu dětem .
?select(food=Indian),?select(food=X-food),Co říkáte indické kuchyni ?,Co říkáte X-food kuchyni ?
?request(good_for_meal),?request(good_for_meal),"Preferujete snídani , brunch , oběd nebo večeři ?","Preferujete snídani , brunch , oběd nebo večeři ?"
"inform(food=French,name=Ferdinanda)","inform(food=X-food,name=X-name)",Nedaleko je francouzská restaurace Ferdinanda .,Nedaleko je X-food restaurace X-name .
"inform(food=Turkish,name='Pivo & Basilico')","inform(food=X-food,name=X-name)",Pivo & Basilico je turecká restaurace,X-name je X-food restaurace
?request(price_range),?request(price_range),Jakou máte cenovou představu ?,Jakou máte cenovou představu ?
"inform(good_for_meal=lunch,kids_allowed=yes,name='U Konšelů',price_range=expensive)","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name,price_range=X-price_range)","U Konšelů je drahá restaurace podávající obědy , kde je povolen vstup s dětmi .","X-name je X-price_range restaurace podávající X-good_for_meal , kde je povolen vstup s dětmi ."
"inform(name='Café Savoy',type=restaurant)","inform(name=X-name,type=restaurant)",Je tu pěkná restaurace jménem Café Savoy .,Je tu pěkná restaurace jménem X-name .
?request(good_for_meal),?request(good_for_meal),"Přemýšlíte nad snídaní , brunchem , obědem nebo večeří ?","Přemýšlíte nad snídaní , brunchem , obědem nebo večeří ?"
?request(price_range),?request(price_range),Jakou cenovou úroveň zvažujete ?,Jakou cenovou úroveň zvažujete ?
"inform_no_match(area=Dejvice,kids_allowed=yes)","inform_no_match(area=X-area,kids_allowed=yes)","Blízko Dejvic není žádná restaurace , která by byla vhodná pro návštěvu s dětmi .","Blízko X-area není žádná restaurace , která by byla vhodná pro návštěvu s dětmi ."
"inform(name='Baráčnická rychta',type=restaurant)","inform(name=X-name,type=restaurant)",Dobrá restaurace je třeba Baráčnická rychta .,Dobrá restaurace je třeba X-name .
"inform(name='U Konšelů',type=restaurant)","inform(name=X-name,type=restaurant)",Doporučuji U Konšelů .,Doporučuji X-name .
goodbye(),goodbye(),"Na shledanou , děkujeme za využití našich služeb .","Na shledanou , děkujeme za využití našich služeb ."
"inform(address='Žatecká 35',name=Ananta,postcode='169 00')","inform(address=X-address,name=X-name,postcode=X-postcode)","Ananta se nachází v ulici Žatecká 35 , poštovní směrovací číslo 169 00 .","X-name se nachází v ulici X-address , poštovní směrovací číslo X-postcode ."
"inform(address='Karmelitská 19',name=BarBar)","inform(address=X-address,name=X-name)",BarBar má sídlo na Karmelitské 19 .,X-name má sídlo na X-address .
"inform(kids_allowed=yes,name='Pivo & Basilico')","inform(kids_allowed=yes,name=X-name)","Je tu restaurace s názvem Pivo & Basilico , kam mohou děti .","Je tu restaurace s názvem X-name , kam mohou děti ."
?request(near),?request(near),Hledáte nějaké konkrétní místo ?,Hledáte nějaké konkrétní místo ?
"inform(name=BarBar,phone=222685255,price='150 Kč')","inform(name=X-name,phone=X-phone,price=X-price)",Restaurace se nazývá BarBar . Ceny jsou kolem 150 Kč . Telefonní číslo je 222685255 .,Restaurace se nazývá X-name . Ceny jsou kolem X-price . Telefonní číslo je X-phone .
"inform_no_match(food=Mexican,kids_allowed=yes)","inform_no_match(food=X-food,kids_allowed=yes)","Nejsou tam žádné mexické restaurace , které by byly přístupné dětem .","Nejsou tam žádné X-food restaurace , které by byly přístupné dětem ."
"inform(area=Žižkov,kids_allowed=yes,name='U Tučňáků')","inform(area=X-area,kids_allowed=yes,name=X-name)",Restaurace U Tučňáků se nachází na Žižkově a je vhodná pro návštěvu s dětmi .,Restaurace X-name se nachází na X-area a je vhodná pro návštěvu s dětmi .
"inform_no_match(kids_allowed=no,near='Petřín Tower',price_range=cheap)","inform_no_match(kids_allowed=no,near=X-near,price_range=X-price_range)","Blízko Petřínské rozhledny se nenacházejí restaurace , které by byly levné a kam by neměly přístup děti .","Blízko X-near se nenacházejí restaurace , které by byly X-price_range a kam by neměly přístup děti ."
"inform(name='Green Spirit',type=restaurant)","inform(name=X-name,type=restaurant)",Doporučila bych vám příjemnou restauraci Green Spirit .,Doporučila bych vám příjemnou restauraci X-name .
goodbye(),goodbye(),"Nemáte zač , na shledanou .","Nemáte zač , na shledanou ."
goodbye(),goodbye(),"Díky , na shledanou .","Díky , na shledanou ."
"inform(good_for_meal=dinner,kids_allowed=yes,name='Baráčnická rychta')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Restaurace Baráčnická rychta nabízí dobré večeře a je vhodná pro děti .,Restaurace X-name nabízí dobré X-good_for_meal a je vhodná pro děti .
"inform(area=Karlín,name='Café Kampus')","inform(area=X-area,name=X-name)",Café Kampus snadno najdete v Karlíně .,X-name snadno najdete v X-area .
goodbye(),goodbye(),Na shledanou,Na shledanou
"inform(name='Café Kampus',price='between 150 and 260 Kč')","inform(name=X-name,price=X-price)",Ceny se v Café Kampus pohybují mezi 150 a 260 Kč .,Ceny se v X-name pohybují X-price .
"inform(kids_allowed=no,name=BarBar,price_range=moderate)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)","Ne , cenově průměrný BarBar není přístupný dětem .","Ne , cenově X-price_range X-name není přístupný dětem ."
"inform(name='U Tučňáků',type=restaurant)","inform(name=X-name,type=restaurant)",Restaurace se jmenuje U Tučňáků .,Restaurace se jmenuje X-name .
?request(price_range),?request(price_range),Jakou cenovou skupinu hledáte ?,Jakou cenovou skupinu hledáte ?
"inform(address='Náprstkova 43',name='Café Savoy')","inform(address=X-address,name=X-name)",Adresa Café Savoy je Náprstkova 43 .,Adresa X-name je X-address .
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),Přejete si restauraci vhodnou pro děti ?,Přejete si restauraci vhodnou pro děti ?
"inform(good_for_meal=dinner,kids_allowed=yes,name='Green Spirit')","inform(good_for_meal=X-good_for_meal,kids_allowed=yes,name=X-name)",Navrhuji restauraci Green Spirit . Vstup je umožněn i dětem a podávají zde výborné večeře .,Navrhuji restauraci X-name . Vstup je umožněn i dětem a podávají zde výborné X-good_for_meal .
?request(price_range),?request(price_range),Jakou cenovou kategorii si přejete ?,Jakou cenovou kategorii si přejete ?
?request(price_range),?request(price_range),Jak drahou restauraci hledáte ?,Jak drahou restauraci hledáte ?
"inform(food=Indian,name='U Tučňáků',near='Petřín Tower',price_range=expensive)","inform(food=X-food,name=X-name,near=X-near,price_range=X-price_range)",V restauraci U Tučňáků poblíž Petřínské věže podávají dražší indická jídla .,V restauraci X-name poblíž X-near podávají X-price_range X-food jídla .
"inform(name=Místo,near=Stromovka,price_range=cheap)","inform(name=X-name,near=X-near,price_range=X-price_range)",Místo je restaurace poblíž Stromovky v nižší cenové skupině .,X-name je restaurace poblíž X-near v X-price_range cenové skupině .
"inform(address='Štefánikova 10',name='Café Kampus')","inform(address=X-address,name=X-name)",Restauraci Café Kampus najdete na adrese Štefánikova 10 .,Restauraci X-name najdete na adrese X-address .
"inform(area=Vinohrady,name=Místo,near=Stromovka)","inform(area=X-area,name=X-name,near=X-near)",Místo je nedaleko Stromovky na Vinohradech .,X-name je nedaleko X-near na X-area .
goodbye(),goodbye(),Jste určitě vítáni !,Jste určitě vítáni !
"inform(kids_allowed=no,name=Ferdinanda,price_range=cheap)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)",Ferdinanda je levné místo a není zde povolen vstup s dětmi .,X-name je X-price_range místo a není zde povolen vstup s dětmi .
"inform(food=Czech,good_for_meal=dinner,name=BarBar)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)",BarBar vaří k večeři česká jídla,X-name vaří k X-good_for_meal X-food jídla
goodbye(),goodbye(),Není vůbec za co . Na shledanou .,Není vůbec za co . Na shledanou .
"inform(kids_allowed=no,name=Místo,price_range=cheap)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)",Místo je levná restaurace nevhodná pro děti .,X-name je X-price_range restaurace nevhodná pro děti .
"inform(food=Czech,name='Café Savoy')","inform(food=X-food,name=X-name)",Českou kuchyni najdete v restauraci Café Savoy,X-food kuchyni najdete v restauraci X-name
goodbye(),goodbye(),"Děkuji , přeji krásný den .","Děkuji , přeji krásný den ."
"inform(name='U Konšelů',type=restaurant)","inform(name=X-name,type=restaurant)",U Konšelů je výtečná restaurace .,X-name je výtečná restaurace .
"inform(address='Štefánikova 10',name='Green Spirit')","inform(address=X-address,name=X-name)",Adresa restaurace Green Spirit je Štefánikova 10 .,Adresa restaurace X-name je X-address .
?select(food=Italian),?select(food=X-food),Vyhovovala by vám italská kuchyně ?,Vyhovovala by vám X-food kuchyně ?
"inform(address='Štefánikova 7',name='Green Spirit')","inform(address=X-address,name=X-name)",Restaurace Green Spirit sídlí na adrese Štefánikova 7 .,Restaurace X-name sídlí na adrese X-address .
?reqmore(),?reqmore(),Můžu pomoct s něčím dalším ?,Můžu pomoct s něčím dalším ?
?request(price_range),?request(price_range),Jakou kategorii cen hledáte ?,Jakou kategorii cen hledáte ?
"inform(address='Tržiště 4',name='Green Spirit',phone=230113435)","inform(address=X-address,name=X-name,phone=X-phone)",Adresa restaurace Green Spirit je Tržiště 4 . Telefonní číslo je 230113435 .,Adresa restaurace X-name je X-address . Telefonní číslo je X-phone .
goodbye(),goodbye(),Přeji příjemný den,Přeji příjemný den
goodbye(),goodbye(),"Děkuji , přeji hezký den .","Děkuji , přeji hezký den ."
goodbye(),goodbye(),Přeji příjemný den,Přeji příjemný den
?request(price_range),?request(price_range),Jakou máte představu o cenové kategorii ? < / s > ů,Jakou máte představu o cenové kategorii ? < / s > ů
"inform(food=Turkish,good_for_meal=dinner,name=Ferdinanda)","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Mám tu příjemnou restauraci Ferdinanda , která nabízí tureckou kuchyni a hodí se na večeři .","Mám tu příjemnou restauraci X-name , která nabízí X-food kuchyni a hodí se na X-good_for_meal ."
goodbye(),goodbye(),Bylo mi potěšením . Na shledanou .,Bylo mi potěšením . Na shledanou .
"inform(name='Café Kampus',postcode='153 00')","inform(name=X-name,postcode=X-postcode)",Poštovní směrovací číslo restaurace Café Kampus je 153 00 .,Poštovní směrovací číslo restaurace X-name je X-postcode .
?reqmore(),?reqmore(),"Je něco dalšího , co bych pro vás mohla udělat ?","Je něco dalšího , co bych pro vás mohla udělat ?"
?select(near='Wenceslas Square'),?select(near=X-near),"Blízko čeho chcete , aby se nacházela , poblíž Václavského náměstí ?","Blízko čeho chcete , aby se nacházela , poblíž X-near ?"
"inform(address='Karmelitská 47',name='Baráčnická rychta',near='Prague Castle')","inform(address=X-address,name=X-name,near=X-near)",Baráčnická rychta leží poblíž Pražského hradu na adrese Karmelitská 47 .,X-name leží poblíž X-near na adrese X-address .
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Přejete si , aby ta restaurace byla vhodná pro děti ?","Přejete si , aby ta restaurace byla vhodná pro děti ?"
?select(kids_allowed='yes or no'),?select(kids_allowed='yes or no'),"Hledáte něco , kam mohou děti ?","Hledáte něco , kam mohou děti ?"
goodbye(),goodbye(),Děkuji a přeji hezký den .,Děkuji a přeji hezký den .
"inform(kids_allowed=no,name='Green Spirit',price_range=cheap)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)","Green Spirit je levná restaurace , ovšem není vhodná pro děti .","X-name je X-price_range restaurace , ovšem není vhodná pro děti ."
goodbye(),goodbye(),Na shledanou .,Na shledanou .
"inform_no_match(area='Malá Strana',food=Czech)","inform_no_match(area=X-area,food=X-food)","Na Malé Straně není žádná restaurace , která by měla v nabídce česká jídla .","Na X-area není žádná restaurace , která by měla v nabídce X-food jídla ."
goodbye(),goodbye(),"Děkuji Vám , mějte se krásně","Děkuji Vám , mějte se krásně"
goodbye(),goodbye(),Nemáte zač . Mějte se .,Nemáte zač . Mějte se .
"inform(area=Hradčany,name='Pivo & Basilico',near=Stromovka)","inform(area=X-area,name=X-name,near=X-near)",Pivo & Basilico je poblíž Stromovky na Hradčanech,X-name je poblíž X-near na X-area
?request(price_range),?request(price_range),V jaké cenové relaci mám restauraci hledat ?,V jaké cenové relaci mám restauraci hledat ?
"inform(address='Karmelitská 30',name=Místo)","inform(address=X-address,name=X-name)",Adresa Místa zní Karmelitská 30 .,Adresa X-name zní X-address .
"inform(name=BarBar,type=restaurant)","inform(name=X-name,type=restaurant)",BarBar je restaurace,X-name je restaurace
goodbye(),goodbye(),"Na shledanou , děkujeme za využití našich služeb .","Na shledanou , děkujeme za využití našich služeb ."
"inform(name='U Konšelů',postcode='128 00')","inform(name=X-name,postcode=X-postcode)",Poštovní směrovací číslo restaurace U Konšelů je 128 00 .,Poštovní směrovací číslo restaurace X-name je X-postcode .
"inform(kids_allowed=no,name='Kočár z Vídně',near='Wenceslas Square',price_range=moderate)","inform(kids_allowed=no,name=X-name,near=X-near,price_range=X-price_range)","Kočár z Vídně je poblíž Václavského náměstí , hodí se pro děti a má střední ceny .","X-name je poblíž X-near , hodí se pro děti a má X-price_range ceny ."
"inform(count=4,kids_allowed=yes,price_range=expensive,type=restaurant)","inform(count=X-count,kids_allowed=yes,price_range=X-price_range,type=restaurant)","Jsou zde 4 restaurace vyšší cenové skupiny , kam můžete i s dětmi .","Jsou zde X-count restaurace X-price_range cenové skupiny , kam můžete i s dětmi ."
?request(price_range),?request(price_range),Jaká cenová kategorie prosím ?,Jaká cenová kategorie prosím ?
goodbye(),goodbye(),"Na shledanou , děkujeme za využití našich služeb .","Na shledanou , děkujeme za využití našich služeb ."
goodbye(),goodbye(),Dobrou chuť !,Dobrou chuť !
goodbye(),goodbye(),"Děkuji , přeji krásný den .","Děkuji , přeji krásný den ."
"inform(food=French,good_for_meal=dinner,name='Švejk Restaurant')","inform(food=X-food,good_for_meal=X-good_for_meal,name=X-name)","Restaurace Švejk je krásná restaurace , která nabízí francouzskou kuchyni a je dobrá v době večeří .","X-name je krásná restaurace , která nabízí X-food kuchyni a je dobrá v době X-good_for_meal ."
"inform(count=2,good_for_meal=dont_care,near='Wenceslas Square',price_range=moderate,type=restaurant)","inform(count=X-count,good_for_meal=dont_care,near=X-near,price_range=X-price_range,type=restaurant)","Blízko Václavskému náměstí jsou 2 dobré , cenově dostupné restaurace .","Blízko X-near jsou X-count dobré , X-price_range restaurace ."
"inform(name='Kočár z Vídně',type=restaurant)","inform(name=X-name,type=restaurant)",Nabízí se restaurace jménem Kočár z Vídně .,Nabízí se restaurace jménem X-name .
goodbye(),goodbye(),Není zač .,Není zač .
"inform(address='Národní 18',area=Vinohrady,name='Green Spirit')","inform(address=X-address,area=X-area,name=X-name)",Green Spirit je na Vinohradech a jeho adresa je Národní 18 .,X-name je na X-area a jeho adresa je X-address .
"inform(kids_allowed=yes,name=Místo)","inform(kids_allowed=yes,name=X-name)","Ano , restaurace Místo je vhodná také pro děti .","Ano , restaurace X-name je vhodná také pro děti ."
"inform(good_for_meal=dinner,name='Café Savoy',near='Wenceslas Square',price_range=cheap)","inform(good_for_meal=X-good_for_meal,name=X-name,near=X-near,price_range=X-price_range)","Café Savoy je restaurace poblíž Václavskému náměstí , ve které vám připraví dobrou a levnou večeři .","X-name je restaurace poblíž X-near , ve které vám připraví dobrou a X-price_range X-good_for_meal ."
?request(price_range),?request(price_range),Která cenová kategorie vyhovuje vašim potřebám ?,Která cenová kategorie vyhovuje vašim potřebám ?
?request(near),?request(near),V blízkosti čeho byste chtěli jíst ?,V blízkosti čeho byste chtěli jíst ?
"inform(kids_allowed=no,name='Pivo & Basilico',price_range=cheap)","inform(kids_allowed=no,name=X-name,price_range=X-price_range)",Restaurace Pivo & Basilico je levná a není vhodná pro návštěvu s dětmi .,Restaurace X-name je X-price_range a není vhodná pro návštěvu s dětmi .
?request(price_range),?request(price_range),Jakou cenovou kategorii byste preferovali ?,Jakou cenovou kategorii byste preferovali ?
?request(near),?request(near),Poblíž čeho hledáte ?,Poblíž čeho hledáte ?
"inform(food=French,name='Café Kampus')","inform(food=X-food,name=X-name)",Café Kampus nabízí francouzskou kuchyni .,X-name nabízí X-food kuchyni .
"inform(kids_allowed=yes,name='Pivo & Basilico',phone=222716311)","inform(kids_allowed=yes,name=X-name,phone=X-phone)","Pivo & Basilico je vhodné pro návštěvu s dětmi , telefon je 222716311","X-name je vhodné pro návštěvu s dětmi , telefon je X-phone"
goodbye(),goodbye(),Na shledanou,Na shledanou
"inform(address='Karmelitská 29',area=Smíchov,name=Ferdinanda)","inform(address=X-address,area=X-area,name=X-name)","Restaurace Ferdinanda je na Smíchově , adresa je Karmelitská 29 .","Restaurace X-name je na X-area , adresa je X-address ."
goodbye(),goodbye(),Mějte se .,Mějte se .
"inform(name=Místo,type=restaurant)","inform(name=X-name,type=restaurant)",Doporučila bych třeba restauraci Místo,Doporučila bych třeba restauraci X-name
?reqmore(),?reqmore(),S čím vám mohu pomoci ?,S čím vám mohu pomoci ?
